country,region,health_index,obese_rate,suicide_rate,democracies_rate,hdr_rate,life_Exp,gpi,iq_rate,"Deaths per 1,000 live births",gdp_usd,Ipc
Argentina,LATIN AMER. & CARIB,54.4,28.3,8.4,6.81,0.845,76.064,1.911,86.63,7.61,8549,1029.0
Bolivia,LATIN AMER. & CARIB,29.9,20.2,6.2,4.65,0.718,64.928,1.989,76.53,20.72,3018,108.0
Brazil,LATIN AMER. & CARIB,51.2,22.1,6.9,6.86,0.765,73.425,2.465,83.38,13.13,6728,6408.0
Chile,LATIN AMER. & CARIB,56.2,28.0,9.0,7.92,0.851,79.519,1.84,87.89,5.77,12880,127.0
Colombia,LATIN AMER. & CARIB,53.2,22.3,3.9,6.48,0.767,73.659,2.729,83.13,11.35,5213,124.0
Ecuador,LATIN AMER. & CARIB,50.8,19.9,7.6,5.71,0.759,77.894,1.988,78.26,11.15,5516,110.0
Paraguay,LATIN AMER. & CARIB,40.3,20.3,6.0,5.86,0.728,70.475,1.976,84.04,16.18,5225,124.0
Peru,LATIN AMER. & CARIB,54.9,19.7,2.8,6.09,0.777,73.385,2.091,81.44,9.95,6027,107.0
Uruguay,LATIN AMER. & CARIB,40.3,27.9,21.2,8.85,0.817,78.0,1.795,87.59,5.32,15648,261.0
Venezuela,LATIN AMER. & CARIB,20.9,25.6,2.1,2.11,0.711,71.105,2.798,82.99,21.06,1670,5654207.0
