Comunidades y ciudades autónomas;Sexo;País de nacimiento;Grupo quinquenal de edad;Periodo;Total
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2022S1;1433
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2021S2;968
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2021S1;634
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2020S2;721
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2020S1;754
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2019S2;1213
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2019S1;1056
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2018S2;980
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2018S1;871
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2017S2;847
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2017S1;788
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2016S2;709
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2016S1;647
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2015S2;586
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2015S1;520
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2014S2;473
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2014S1;417
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2013S2;447
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2013S1;351
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2012S2;408
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2012S1;482
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2011S2;525
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2011S1;517
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2010S2;507
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2010S1;515
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2009S2;469
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2009S1;518
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2008S2;569
01 Andalucía;Hombres;Extranjero;De 0 a 4 años;2008S1;812
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2022S1;1492
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2021S2;995
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2021S1;350
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2020S2;635
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2020S1;610
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2019S2;1104
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2019S1;882
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2018S2;803
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2018S1;514
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2017S2;531
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2017S1;312
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2016S2;355
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2016S1;226
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2015S2;348
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2015S1;171
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2014S2;263
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2014S1;126
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2013S2;275
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2013S1;146
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2012S2;248
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2012S1;142
01 Andalucía;Hombres;Extranjero;De 5 a 9 años;2011S2;382
